# Step COM1_x COM1_y COM1_z COM2_x COM2_y COM2_z disp1 disp2
1 105.003916 110.001851 111.476174 110.603882 104.687624 112.926299 0.000000 0.000000
2 105.150662 110.154236 111.579809 110.417267 104.573839 112.813216 0.235575 0.246090
3 105.313953 110.252031 111.632630 110.248499 104.445477 112.699829 0.428008 0.486026
4 105.505406 110.356118 111.700548 110.100321 104.385087 112.652039 0.653713 0.648322
5 105.620196 110.478901 111.738365 109.933651 104.262423 112.532328 0.822266 0.886126
6 105.768072 110.569115 111.809903 109.759691 104.203972 112.473307 1.008513 1.073210
7 105.890173 110.679046 111.879945 109.531580 104.084510 112.395447 1.186202 1.339919
8 106.036207 110.797813 111.992455 109.350641 103.978979 112.300691 1.402044 1.569770
9 106.213529 110.917645 112.111833 109.186565 103.861957 112.184537 1.644964 1.800202
10 106.371510 111.013675 112.199763 109.009600 103.741667 112.127197 1.848697 2.018696
11 106.539020 111.150096 112.324152 108.848538 103.641745 112.088715 2.096206 2.208312
12 106.673275 111.215053 112.378584 108.658582 103.461138 111.984598 2.252323 2.485007
13 106.855378 111.362193 112.433554 108.445434 103.345979 111.884007 2.488980 2.746868
14 107.027867 111.476245 112.497783 108.292813 103.231844 111.797206 2.704422 2.955535
15 107.150304 111.557430 112.531417 108.117683 103.117645 111.696984 2.853129 3.187042
16 107.347055 111.685891 112.655404 107.959033 103.044313 111.613386 3.117190 3.379266
17 107.521088 111.768670 112.757046 107.829562 102.938624 111.550844 3.331432 3.556364
18 107.681702 111.866580 112.875046 107.703086 102.815866 111.445930 3.550295 3.756273
19 107.826548 112.003633 112.896543 107.551975 102.720627 111.406348 3.740566 3.936174
20 108.007778 112.121941 112.928857 107.387454 102.628394 111.348387 3.953259 4.132269
21 108.179814 112.222944 112.979651 107.234046 102.497203 111.231049 4.156925 4.362065
22 108.303158 112.333938 113.085895 107.057069 102.374967 111.163286 4.349118 4.586554
23 108.469955 112.434980 113.161252 106.879720 102.269949 111.052831 4.557744 4.819173
24 108.605235 112.562657 113.238655 106.713197 102.129360 110.979579 4.757475 5.046966
25 108.762574 112.671235 113.332334 106.551522 102.007828 110.885553 4.969753 5.269495
26 108.870746 112.742080 113.355542 106.394076 101.881248 110.802644 5.098358 5.487087
27 109.017169 112.828273 113.455033 106.281266 101.758889 110.731906 5.292518 5.663732
28 109.190089 112.953295 113.562926 106.144848 101.663941 110.694122 5.530787 5.831660
29 109.356576 113.092013 113.706778 105.959907 101.573903 110.600841 5.785356 6.055536
30 109.504881 113.246277 113.790488 105.763838 101.495891 110.531799 6.011741 6.272704
31 109.679237 113.395001 113.873197 105.630987 101.402331 110.454355 6.254424 6.452390
32 109.834541 113.514212 113.954988 105.500453 101.291298 110.404167 6.466540 6.628814
33 110.051344 113.643612 114.049463 105.416175 101.222691 110.324352 6.735040 6.759304
34 110.230017 113.804042 114.148839 105.275284 101.096940 110.258681 6.993706 6.957237
35 110.378558 113.892109 114.224830 105.107344 101.015550 110.198951 7.181642 7.150839
36 110.574180 114.033265 114.315677 104.931517 100.927349 110.104178 7.439282 7.367480
37 110.715216 114.126795 114.397907 104.810319 100.853927 110.038819 7.626967 7.523307
